Exercise,primary,secondary
band-pull-apart,front_traps,
band-box-squat,front_quads,back_hamstrings (40.0%)
band-staggered-stance-row,back_lats,front_biceps (40.0%)
band-v-up-hold,front_abs,
band-reverse-fly,front_traps,
band-shrug,front_traps,
yoga-ball-band-sit-up,front_abs,
single-leg-row-reach,back_hamstrings,
band-internal-rotation,front_shoulders,
band-lateral-raise,front_shoulders,
band-hamstring-curl,back_hamstrings,
half-kneeling-band-overhead-press,front_shoulders,
band-glute-kickback,back_glutes,
band-floor-overhead-row,back_lats,
half-kneeling-band-row,back_lats,front_biceps (40.0%)
band-curl-to-press,front_shoulders,
band-assisted-pull-up,back_lats,front_biceps (40.0%)
band-front-raise,front_shoulders,
band-leg-abduction,front_hip_abductors,
band-half-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
seated-band-curl,front_biceps,
band-v-up,front_abs,
band-floor-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-upright-row,front_shoulders,front_traps (40.0%)
band-dumbbell-pallof-punch,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
band-lumberjack-squat,front_obliques,"back_hamstrings (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
seated-band-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-side-bend,front_obliques,
band-straight-arm-pulldown,back_lats,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-sumo-squat,front_quads,
band-horizontal-to-vertical-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
band-row-to-x,front_shoulders,front_traps (40.0%)
band-leg-adduction,front_hip_adductors,
bosu-band-sit-up,front_abs,
band-knee-drive,front_hip_flexors,
band-split-squat,front_quads,back_hamstrings (40.0%)
half-kneeling-band-chest-fly-low-to-high,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-tricep-extension,back_hamstrings,
band-skull-crusher,back_hamstrings,
band-overhead-press,front_shoulders,
band-overhead-row,back_lats,
band-overhead-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
windmill,front_shoulders,"back_lower_back (40.0%), front_abs (40.0%)"
staggered-stance-band-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
half-band-curl,front_biceps,
half-kneeling-band-trunk-rotation,front_obliques,front_abs (40.0%)
band-decline-sit-up,front_abs,
band-curl,front_biceps,
band-hammer-lat-pulldown,back_lats,front_biceps (40.0%)
yoga-ball-band-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
band-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-around-the-world,front_shoulders,
band-wall-sit-with-curl,front_quads,back_glutes (40.0%)
seated-band-hammer-curl,front_biceps,
band-tricep-pushdown,back_hamstrings,
band-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
band-alternating-lateral-front-raise,front_shoulders,
band-one-arm-row,back_lats,front_biceps (40.0%)
alternating-band-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-thruster,front_shoulders,back_glutes (40.0%)
yoga-ball-band-lateral-raise,front_shoulders,
band-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
band-lying-alternating-arm-leg-reach,front_shoulders,front_abs (40.0%)
half-kneeling-band-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-high-row,front_shoulders,"back_lats (40.0%), front_traps (40.0%)"
band-assisted-hammer-pull-up,back_lats,front_biceps (40.0%)
band-pallof-circle,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
alternating-band-curl,front_biceps,
band-pistol-squat,front_quads,
band-face-pull,front_traps,
band-lat-pulldown,back_lats,front_biceps (40.0%)
band-leg-extension,front_quads,
cable-band-knee-drive,front_hip_flexors,
band-good-morning,back_hamstrings,
band-chest-fly-low-to-high,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-hammer-curl,front_biceps,
band-chin-up,back_lats,front_biceps (40.0%)
band-goblet-squat,front_quads,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-bench-one-arm-row,back_lats,front_biceps (40.0%)
band-trunk-rotation,front_obliques,front_abs (40.0%)
alternating-band-lateral-raise,front_shoulders,
single-arm-band-lat-pulldown,back_lats,front_biceps (40.0%)
band-bulgarian-split-squat,front_quads,
band-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-row,back_lats,front_biceps (40.0%)
band-chair-leg-raise,front_hip_flexors,
weighted-band-pallof-punch,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-assisted-dip,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
band-archer-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
band-kickback,back_hamstrings,
band-chest-supported-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
half-kneeling-band-pallof-circle,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-squat-hold,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
band-plank-overhead-row,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
half-kneeling-band-one-arm-row,back_lats,front_biceps (40.0%)
alternating-band-overhead-press,front_shoulders,
single-leg-band-box-squat,front_quads,back_hamstrings (40.0%)
band-external-rotation,front_shoulders,
