Exercise,primary,secondary
kettlebell-box-jump,front_quads,back_hamstrings (40.0%)
kettlebell-step-down,front_quads,
kettlebell-bulgarian-split-squat,front_quads,
kettlebell-step-up,front_quads,
med-ball-box-jump,front_quads,back_hamstrings (40.0%)
barbell-step-up-to-reverse-lunge,front_quads,
dumbbell-box-jump,front_quads,back_hamstrings (40.0%)
dumbbell-power-step-up,front_quads,back_glutes (40.0%)
front-rack-box-squat,front_quads,front_hip_flexors (40.0%)
bodyweight-step-down,front_quads,
med-ball-power-step-up,front_quads,back_glutes (40.0%)
bodyweight-step-up,front_quads,
bodyweight-step-up-to-lateral-leg-raise,front_quads,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
bodyweight-step-up-to-reverse-lunge,front_quads,
barbell-box-squat,front_quads,back_hamstrings (40.0%)
dumbbell-step-up-to-reverse-lunge,front_quads,
kettlebell-step-up-to-lateral-leg-raise,front_quads,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
dumbbell-step-down,front_quads,
dumbbell-bulgarian-split-squat,front_quads,
box-jump,front_quads,back_hamstrings (40.0%)
dumbbell-step-up,front_quads,
barbell-step-up,front_quads,
kettlebell-power-step-up,front_quads,back_glutes (40.0%)
kettlebell-step-up-to-reverse-lunge,front_quads,
med-ball-step-up,front_quads,
med-ball-step-up-to-lateral-leg-raise,front_quads,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
med-ball-step-up-to-reverse-lunge,front_quads,
med-ball-bulgarian-split-squat,front_quads,
band-bulgarian-split-squat,front_quads,
med-ball-step-down,front_quads,
bulgarian-split-squat,front_quads,
dumbbell-step-up-to-lateral-leg-raise,front_quads,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
west-side-barbell-box-squat,front_quads,
single-leg-box-jump,front_quads,back_hamstrings (40.0%)
bodyweight-power-step-up,front_quads,back_glutes (40.0%)
