Exercise,primary,secondary
single-arm-cable-lat-pulldown,back_lats,front_biceps (40.0%)
cable-hammer-curl,front_biceps,
cable-wide-row,back_lats,front_biceps (40.0%)
seated-cable-lumberjack-high-to-low,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
half-cable-curl,front_biceps,
cable-overhead-row,back_lats,
cable-decline-row,front_shoulders,"back_lower_back (40.0%), front_abs (40.0%)"
single-arm-split-stance-decline-row,front_shoulders,"back_lower_back (40.0%), front_abs (40.0%)"
cable-archer-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
cable-lying-alternating-arm-leg-reach,front_shoulders,front_abs (40.0%)
split-stance-cable-incline-press,front_shoulders,
cable-decline-bench-press,front_chest,back_hamstrings (40.0%)
one-arm-cable-plank-overhead-row,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
single-arm-cable-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-standing-iyt,front_traps,
cable-leg-adduction,front_hip_adductors,
cable-lateral-raise,front_shoulders,
split-stance-cable-row,back_lats,front_biceps (40.0%)
cable-face-pull,front_traps,
cable-hamstring-curl,back_hamstrings,
alternating-cable-lateral-raise,front_shoulders,
incline-cable-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
cable-incline-bench-press,front_shoulders,
single-arm-split-stance-cable-chest-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-cable-row,back_lats,front_biceps (40.0%)
cable-internal-rotation,front_shoulders,
cable-kickback,back_hamstrings,
cable-pallof-punch,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
cable-lumberjack-squat,front_obliques,"back_hamstrings (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
cable-vertical-to-horizontal-row,back_lats,front_biceps (40.0%)
cable-upright-row,front_shoulders,front_traps (40.0%)
single-arm-split-stance-incline-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
cable-glute-kickback,back_glutes,
bosu-cable-sit-up,front_abs,
single-arm-split-stance-cable-decline-press,front_chest,back_hamstrings (40.0%)
cable-decline-sit-up,front_abs,
cable-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
half-kneeling-cable-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-row-to-x,front_shoulders,front_traps (40.0%)
single-arm-cable-overhead-press,front_shoulders,
cable-lumberjack-high-to-low,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-cable-curl,front_biceps,
half-kneeling-cable-chest-fly-low-to-high,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-lat-pulldown,back_lats,front_biceps (40.0%)
single-arm-split-stance-cable-incline-press,front_shoulders,
cable-leg-abduction,front_hip_abductors,
split-stance-cable-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-low-row-high-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
cable-pallof-circle,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
