Exercise,primary,secondary
cable-hammer-curl,front_biceps,
dumbbell-hammer-curl,front_biceps,
half-kneeling-dumbbell-hammer-curl-to-press,front_shoulders,
weighted-hammer-pull-up,back_lats,front_biceps (40.0%)
assisted-hammer-pull-up,back_lats,front_biceps (40.0%)
kettlebell-hammer-curl,front_biceps,
band-hammer-lat-pulldown,back_lats,front_biceps (40.0%)
yoga-ball-kettlebell-hammer-curl-to-press,front_shoulders,
seated-band-hammer-curl,front_biceps,
seated-kettlebell-hammer-curl-to-press,front_shoulders,
kettlebell-hammer-curl-to-press,front_shoulders,
unilateral-dumbbell-hammer-curl-to-press,front_shoulders,
machine-hammer-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
hammer-lat-pulldown,back_lats,front_biceps (40.0%)
band-assisted-hammer-pull-up,back_lats,front_biceps (40.0%)
alternating-hammer-lat-pulldown,back_lats,front_biceps (40.0%)
dumbbell-hammer-curl-to-press,front_shoulders,
unilateral-single-kettlebell-hammer-curl-to-press,front_shoulders,
seated-kettlebell-hammer-curl,front_biceps,
half-kneeling-kettlebell-hammer-curl-to-press,front_shoulders,
seated-dumbbell-hammer-curl,front_biceps,
alternating-kettlebell-hammer-curl-to-press,front_shoulders,
alternating-dumbbell-hammer-curl-to-press,front_shoulders,
single-arm-hammer-lat-pulldown,back_lats,front_biceps (40.0%)
band-hammer-curl,front_biceps,
seated-cable-hammer-curl,front_biceps,
cable-hammer-lat-pulldown,back_lats,front_biceps (40.0%)
seated-dumbbell-hammer-curl-to-press,front_shoulders,
yoga-ball-dumbbell-hammer-curl-to-press,front_shoulders,
hammer-machine-overhead-press,front_shoulders,
hammer-pull-up,back_lats,front_biceps (40.0%)
