Exercise,primary,secondary
ladder-single-leg-hop,back_calves,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%), front_quads (40.0%)"
ladder-hopscotch,back_calves,
ladder-shuffle,back_calves,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
ladder-high-knee,front_hip_flexors,back_calves (40.0%)
ladder-lateral-high-knee,front_hip_flexors,back_calves (40.0%)
ladder-hop,back_calves,
ladder-four-step-shuffle,back_calves,"back_glutes (40.0%), front_hip_flexors (40.0%), front_quads (40.0%)"
ladder-single-leg-shuffle,back_calves,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%), front_quads (40.0%)"
ladder-inside-outside,back_calves,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
ladder-shuffle-hop,back_calves,"back_hip_abductors (40.0%), front_hip_abductors (40.0%), front_quads (40.0%)"
ladder-lateral-skier,back_calves,"front_hip_flexors (40.0%), front_quads (40.0%)"
