Exercise,primary,secondary
barbell-landmine-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
single-arm-landmine-push-press,front_shoulders,
landmine-push-press,front_shoulders,
landmine-thruster,front_shoulders,back_glutes (40.0%)
landmine-front-squat,front_quads,"back_hamstrings (40.0%), front_shoulders (40.0%)"
unilateral-barbell-landmine-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
half-kneeling-barbell-landmine-press,front_shoulders,
landmine-rotary,front_shoulders,front_abs (40.0%)
unilateral-barbell-landmine-press,front_shoulders,
landmine-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
barbell-landmine-press,front_shoulders,
