Exercise,primary,secondary
med-ball-tricep-extension,back_hamstrings,
med-ball-forward-lunge,front_quads,
half-kneeling-med-ball-overhead-press,front_shoulders,
med-ball-hands-to-feet,front_hip_flexors,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
med-ball-sit-up,front_abs,
med-ball-box-squat,front_quads,back_hamstrings (40.0%)
med-ball-overhead-lunge-hold,front_shoulders,back_glutes (40.0%)
half-kneeling-med-ball-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
med-ball-curl-switch,front_shoulders,front_traps (40.0%)
med-ball-box-jump,front_quads,back_hamstrings (40.0%)
med-ball-v-up-hold,front_abs,
med-ball-standing-figure-8,front_shoulders,
med-ball-thruster,front_shoulders,back_glutes (40.0%)
med-ball-back-extension,back_lower_back,"back_glutes (40.0%), back_hamstrings (40.0%)"
med-ball-lateral-lunge,front_quads,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
med-ball-overhead-med-ball-slam,front_abs,
med-ball-wall-ball,front_shoulders,
med-ball-v-up,front_abs,
yoga-ball-med-ball-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-med-ball-overhead-press,front_shoulders,
med-ball-superman-hold,back_lower_back,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
med-ball-med-ball-throw,front_shoulders,
med-ball-curl-to-press,front_shoulders,
med-ball-overhead-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
bosu-med-ball-sit-up,front_abs,
bosu-med-ball-crunch,front_abs,
med-ball-front-raise,front_shoulders,
med-ball-toe-touch-crunch,front_abs,
med-ball-yoga-ball-upper-body-windshield-wiper,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
med-ball-crunch-and-press,front_shoulders,front_chest (40.0%)
med-ball-lunge-and-press,front_shoulders,
med-ball-pistol-squat,front_quads,
med-ball-power-step-up,front_quads,back_glutes (40.0%)
med-ball-lunge-to-donkey-kick,front_quads,
west-side-med-ball-box-squat,front_quads,
med-ball-plie-squat-to-calf-raise,front_quads,"back_calves (40.0%), back_glutes (40.0%)"
med-ball-clean-and-press,front_traps,back_lower_back (40.0%)
med-ball-goblet-squat,front_quads,"back_hamstrings (40.0%), front_shoulders (40.0%)"
med-ball-lumberjack-squat,front_obliques,"back_hamstrings (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
med-ball-sumo-squat,front_quads,
med-ball-reach-curl-forward-lunge,front_quads,"back_hamstrings (40.0%), front_biceps (40.0%)"
med-ball-skull-crusher,back_hamstrings,
med-ball-sumo-deadlift,front_quads,back_lower_back (40.0%)
med-ball-overhead-row,back_lats,
single-leg-med-ball-deadlift-to-press,front_shoulders,front_quads (40.0%)
med-ball-superman,back_lower_back,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
single-leg-med-ball-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
med-ball-reverse-half-lunge,front_quads,
med-ball-ball-rainbow-slam,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
half-kneeling-med-ball-curl-to-press,front_shoulders,
med-ball-decline-bench-press,front_chest,back_hamstrings (40.0%)
med-ball-sumo-goblet-squat,front_quads,
med-ball-decline-sit-up,front_abs,
med-ball-reverse-lunge,front_quads,back_hamstrings (40.0%)
med-ball-trunk-rotation,front_obliques,front_abs (40.0%)
med-ball-chair-leg-raise,front_hip_flexors,
med-ball-burpee,front_quads,"back_calves (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
med-ball-one-arm-elevated-push-up,front_chest,back_hamstrings (40.0%)
med-ball-push-up-with-drag,front_shoulders,"front_abs (40.0%), front_obliques (40.0%)"
med-ball-forward-lunge-hold,front_quads,
seated-med-ball-figure-8,front_shoulders,
med-ball-wall-sit-with-curl,front_quads,back_glutes (40.0%)
med-ball-leg-raise,front_hip_flexors,front_obliques (40.0%)
med-ball-split-squat,front_quads,back_hamstrings (40.0%)
med-ball-floor-tricep-cycle,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
med-ball-russian-twist,front_obliques,
med-ball-halo,front_shoulders,
med-ball-jump-squat,front_quads,"back_calves (40.0%), back_hamstrings (40.0%)"
med-ball-overhead-row-to-crunch,front_abs,"back_hamstrings (40.0%), front_shoulders (40.0%)"
med-ball-lying-alt-leg-raise,front_hip_flexors,
med-ball-side-med-ball-slam,front_obliques,
med-ball-plank-weight-drag-through,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
staggered-stance-med-ball-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
med-ball-step-up,front_quads,
seated-med-ball-curl,front_biceps,
med-ball-standing-lumberjack,front_obliques,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
med-ball-step-up-to-lateral-leg-raise,front_quads,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
med-ball-step-up-to-reverse-lunge,front_quads,
med-ball-bulgarian-split-squat,front_quads,
med-ball-floor-overhead-row,back_lats,
med-ball-crunch,front_abs,
med-ball-floor-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
med-ball-curl,front_biceps,
single-leg-med-ball-box-squat,front_quads,back_hamstrings (40.0%)
yoga-ball-med-ball-sit-up,front_abs,
med-ball-jump-lunge,front_quads,back_hamstrings (40.0%)
yoga-ball-med-ball-crunch,front_abs,
full-med-ball-clean-and-press,front_traps,back_lower_back (40.0%)
seated-med-ball-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
med-ball-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
med-ball-step-down,front_quads,
seated-med-ball-curl-to-press,front_shoulders,
med-ball-overhead-lunge,front_shoulders,back_glutes (40.0%)
med-ball-overhead-press,front_shoulders,
med-ball-around-the-world,front_shoulders,
med-ball-lying-leg-raise,front_abs,front_hip_flexors (40.0%)
med-ball-deadlift-to-press,front_shoulders,front_quads (40.0%)
med-ball-overhead-walk,front_shoulders,front_abs (40.0%)
med-ball-incline-bench-press,front_shoulders,
med-ball-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
med-ball-walking-lunge,front_quads,
