Exercise,primary,secondary
toes-to-bar,front_abs,
pull-up-bar-l-sit-hold,front_abs,front_hip_flexors (40.0%)
band-assisted-pull-up,back_lats,front_biceps (40.0%)
weighted-hammer-pull-up,back_lats,front_biceps (40.0%)
dumbbell-scapular-pull-up,front_traps,front_biceps (40.0%)
weighted-pull-up,back_lats,front_biceps (40.0%)
chin-up,back_lats,front_biceps (40.0%)
hanging-windshield-wiper,front_obliques,front_biceps (40.0%)
band-assisted-hammer-pull-up,back_lats,front_biceps (40.0%)
hanging-leg-raise,front_hip_flexors,front_obliques (40.0%)
scapular-pull-up,front_traps,front_biceps (40.0%)
weighted-chin-up,back_lats,front_biceps (40.0%)
band-chin-up,back_lats,front_biceps (40.0%)
pull-up,back_lats,front_biceps (40.0%)
hammer-pull-up,back_lats,front_biceps (40.0%)
engaged-scapular-hanging,front_traps,
l-sit-pull-up,front_hip_flexors,front_biceps (40.0%)
