Exercise,primary,secondary
lower-back-roller,back_lower_back,
hand-roller-outer-quad,front_quads,
tibialis-roller,front_tibialis,
tricep-roller,back_hamstrings,
hand-roller-tibialis,front_tibialis,
hand-roller-hamstring,back_hamstrings,
lat-roller,back_lats,
glute-roller,back_glutes,
calf-roller,back_calves,
hamstring-roller,back_hamstrings,
upper-back-roller,front_traps,
hand-roller-inner-quad,front_quads,
hand-roller-calf,back_calves,
hip-flexor-roller,front_hip_flexors,
quad-roller,front_quads,
it-band-roller,front_quads,
