Exercise,primary,secondary
trx-pistol-squat-jump,front_quads,back_hamstrings (40.0%)
x-trx-reverse-fly,front_traps,
trx-inverted-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
trx-archer-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
trx-assisted-pull-up,back_lats,front_biceps (40.0%)
trx-horizontal-to-vertical-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
trx-push-up,front_chest,back_hamstrings (40.0%)
trx-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
trx-hamstring-curl,back_hamstrings,
trx-high-row,front_shoulders,"back_lats (40.0%), front_traps (40.0%)"
trx-single-arm-reach-and-row,back_lats,front_biceps (40.0%)
trx-pistol-squat,front_quads,
trx-face-pull,front_traps,
trx-push-up-hold,front_chest,back_hamstrings (40.0%)
trx-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
trx-skull-crusher,back_hamstrings,
trx-knee-drive,front_hip_flexors,
trx-row-to-x,front_shoulders,front_traps (40.0%)
trx-curl,front_biceps,
trx-hollow-body-hold,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
trx-chest-fly,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
trx-standing-iyt,front_traps,
