Exercise,Muscle Groups,Engagement Percentages,Equipment
med-ball-tricep-extension,['back_hamstrings'],['100.0%'],['Medball']
slider-curtsey,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['40.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
chin-to-chest-stretch,"['back_neck', 'front_neck']","['100.0%', '100.0%']",['Bodyweight']
single-arm-cable-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
pike-push-up,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
band-pull-apart,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Bands']
cable-hammer-curl,['front_biceps'],['100.0%'],"['Cables', 'Hammer']"
dumbbell-burpee,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_abs', 'front_chest', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
underhand-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
barbell-landmine-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']","['Barbell', 'Landmine']"
dumbbell-overhead-row-to-crunch,"['back_lats', 'back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Dumbbell']
kettlebell-floor-iyt,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
dumbbell-hammer-curl,['front_biceps'],['100.0%'],"['Dumbbell', 'Hammer']"
barbell-decline-bench-press,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']","['Barbell', 'Bench']"
band-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Bands']
med-ball-forward-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Medball']
half-kneeling-med-ball-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Medball']
knee-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
kettlebell-alternating-lateral-front-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
dumbbell-single-windmill,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '100.0%', '100.0%']",['Dumbbell']
dumbbell-side-plank-row,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Dumbbell']
seated-machine-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Machine']
single-arm-single-kettlebell-chest-fly,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Kettlebell']"
barbell-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']",['Barbell']
med-ball-hands-to-feet,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Medball']
lateral-bear-crawl,"['back_hip_abductors', 'back_hip_adductors', 'back_hamstrings', 'front_hip_abductors', 'front_hip_adductors', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
bicep-push-up,"['back_hamstrings', 'front_biceps', 'front_chest', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
single-kettlebell-swing-to-squat,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%', '40.0%']",['Kettlebell']
dumbbell-crunch-and-press,"['back_hamstrings', 'front_abs', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Dumbbell']
external-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
med-ball-sit-up,['front_abs'],['100.0%'],['Medball']
ladder-single-leg-hop,"['back_calves', 'back_hip_abductors', 'back_hip_adductors', 'front_hip_abductors', 'front_hip_adductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%', '40.0%', '40.0%']",['Ladder']
dumbbell-rear-delt-t,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
band-staggered-stance-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Bands']
seated-dumbbell-rear-delt-t,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
band-v-up-hold,['front_abs'],['100.0%'],['Bands']
lower-back-roller,['back_lower_back'],['100.0%'],['Roller']
cable-wide-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
kettlebell-box-jump,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']","['Box', 'Kettlebell']"
kettlebell-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Kettlebell']
bear-crawl-sit-through,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
med-ball-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Medball']
kettlebell-step-down,"['back_glutes', 'front_quads']","['100.0%', '100.0%']","['Box', 'Kettlebell']"
single-leg-dumbbell-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Dumbbell']"
barbell-wrist-curl-flexion,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Barbell']
sled-pull,"['back_glutes', 'back_lats', 'back_hamstrings', 'front_biceps', 'front_quads']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
band-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Bands']
scorpion-stretch,['back_lower_back'],['100.0%'],['Bodyweight']
alternating-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
