single-leg-dumbbell-hip-thrust,"Bench, Dumbbell","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
dumbbell-hip-thrust-hold,"Bench, Dumbbell","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
barbell-hip-thrust,"Barbell, Bench","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
band-glute-kickback,Bands,
yoga-ball-hip-thrust,"Bench, Yoga Ball","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
single-leg-kettlebell-hip-thrust,"Bench, Kettlebell","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
kettlebell-hip-thrust,"Bench, Kettlebell","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
barbell-hip-thrust-hold,"Barbell, Bench","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
bodyweight-hip-thrust,Bench,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
glute-bridge-open-and-close,Bodyweight,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
bodyweight-hip-thrust-hold,Bench,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
glute-roller,Roller,
cable-glute-kickback,Cables,
leg-cross-body-stretch,Bodyweight,back_lower_back (40.0%)
dumbbell-hip-thrust,"Bench, Dumbbell","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
single-leg-barbell-hip-thrust,"Barbell, Bench","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
pigeon-stretch,Bodyweight,
yoga-ball-kettlebell-hip-thrust,"Bench, Kettlebell, Yoga Ball","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
side-shuffle,Bodyweight,front_quads (40.0%)
kettlebell-hip-thrust-hold,"Bench, Kettlebell","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
yoga-ball-dumbbell-hip-thrust,"Bench, Dumbbell, Yoga Ball","back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
single-leg-bodyweight-hip-thrust,Bench,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
