med-ball-tricep-extension,Medball,
barbell-deadlift,Barbell,front_quads (40.0%)
single-kettlebell-swing-to-squat,Kettlebell,"back_lower_back (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
kettlebell-romanian-deadlift,Kettlebell,back_glutes (40.0%)
sled-pull,Bodyweight,"back_glutes (40.0%), front_biceps (40.0%), front_quads (40.0%)"
single-leg-row-reach,Bands,
staggered-stance-kettlebell-romanian-deadlift,Kettlebell,back_glutes (40.0%)
dumbbell-romanian-deadlift,Dumbbell,back_glutes (40.0%)
side-straddle-stretch,Bodyweight,back_lower_back (40.0%)
single-kettlebell-floor-tricep-cycle,Kettlebell,"front_chest (40.0%), front_shoulders (40.0%)"
tricep-roller,Roller,
band-hamstring-curl,Bands,
kettlebell-kickback,Kettlebell,
dumbbell-dip,"Dip Bar, Dumbbell","front_chest (40.0%), front_shoulders (40.0%)"
single-leg-slider-hamstring-curl,Bodyweight,"back_glutes (40.0%), back_lower_back (40.0%)"
bodyweight-good-morning,Bodyweight,
machine-push-down,Machine,
yoga-ball-leg-curl,Yoga Ball,
dumbbell-kickback,Dumbbell,
hand-roller-hamstring,Roller,
cable-hamstring-curl,Cables,
staggered-stance-barbell-romanian-deadlift,Barbell,back_glutes (40.0%)
band-tricep-extension,Bands,
band-skull-crusher,"Bands, Bench",
staggered-stance-band-romanian-deadlift,Bands,back_glutes (40.0%)
slider-hamstring-curl,Bodyweight,"back_glutes (40.0%), back_lower_back (40.0%)"
single-leg-donkey-kick,Bodyweight,
cable-kickback,Cables,
barbell-good-morning,Barbell,
single-leg-barbell-deadlift,Barbell,front_quads (40.0%)
single-leg-barbell-romanian-deadlift,Barbell,back_glutes (40.0%)
overhead-to-floor-stretch,Bodyweight,
dumbbell-skull-crusher,"Bench, Dumbbell",
trx-hamstring-curl,trx,
single-leg-kettlebell-deadlift,Kettlebell,front_quads (40.0%)
med-ball-skull-crusher,"Bench, Medball",
walking-frankenstein,Bodyweight,
staggered-stance-dumbbell-romanian-deadlift,Dumbbell,back_glutes (40.0%)
band-tricep-pushdown,Bands,
single-leg-dumbbell-romanian-deadlift,Dumbbell,back_glutes (40.0%)
yoga-ball-single-leg-curl,Yoga Ball,back_glutes (40.0%)
barbell-snatch-grip-deadlift,Barbell,"back_glutes (40.0%), front_quads (40.0%), front_traps (40.0%)"
single-leg-machine-hamstring-curl,Machine,
kettlebell-skull-crusher,"Bench, Kettlebell",
barbell-romanian-deadlift,Barbell,back_glutes (40.0%)
single-leg-med-ball-romanian-deadlift,Medball,back_glutes (40.0%)
assisted-dip,"Dip Bar, Machine","front_chest (40.0%), front_shoulders (40.0%)"
single-dumbbell-deadlift,Dumbbell,front_quads (40.0%)
hamstring-roller,Roller,
single-leg-kettlebell-romanian-deadlift,Kettlebell,back_glutes (40.0%)
rowing,Bodyweight,"back_glutes (40.0%), back_lower_back (40.0%), front_biceps (40.0%), front_quads (40.0%)"
smackdown-stretch,Bodyweight,back_lower_back (40.0%)
trx-skull-crusher,trx,
standing-hamstring-stretch,Bodyweight,
glute-march,Bodyweight,front_quads (40.0%)
tricep-to-push-up,Bodyweight,front_chest (40.0%)
single-leg-hamstring-stretch,Bodyweight,
kettlebell-single-arm-swing,Kettlebell,front_shoulders (40.0%)
hamstring-stretch,Bodyweight,
dip,Dip Bar,"front_chest (40.0%), front_shoulders (40.0%)"
med-ball-floor-tricep-cycle,Medball,"front_chest (40.0%), front_shoulders (40.0%)"
band-good-morning,Bands,
single-leg-dumbbell-deadlift,Dumbbell,front_quads (40.0%)
barbell-skull-crusher,"Barbell, Bench",
staggered-stance-med-ball-romanian-deadlift,Medball,back_glutes (40.0%)
machine-hamstring-curl,Machine,
dumbbell-deadlift,Dumbbell,front_quads (40.0%)
nordic,Bodyweight,back_lower_back (40.0%)
dumbbell-floor-tricep-cycle,Dumbbell,"front_chest (40.0%), front_shoulders (40.0%)"
barbell-hex-bar-deadlift,"Barbell, Hex Bar",front_quads (40.0%)
dip-position-shrug,Dip Bar,"front_shoulders (40.0%), front_traps (40.0%)"
single-arm-toe-touch-reach,Bodyweight,back_lower_back (40.0%)
kettlebell-deadlift,Kettlebell,front_quads (40.0%)
bench-dip,Bench,"front_chest (40.0%), front_shoulders (40.0%)"
landmine-romanian-deadlift,"Barbell, Landmine",back_glutes (40.0%)
lying-hamstring-stretch,Bodyweight,
dumbbell-tricep-extension,Dumbbell,
kettlebell-tricep-extension,Kettlebell,
band-assisted-dip,"Bands, Dip Bar","front_chest (40.0%), front_shoulders (40.0%)"
cable-tricep-pushdown,Cables,
band-kickback,Bands,
single-kettlebell-swing,Kettlebell,"back_lower_back (40.0%), front_shoulders (40.0%)"
tricep-stretch,Bodyweight,
ez-bar-skull-crusher,"Bench, EZ Curl Bar",
two-leg-hamstring-stretch,Bodyweight,
single-kettlebell-deadlift,Kettlebell,front_quads (40.0%)
med-ball-romanian-deadlift,Medball,back_glutes (40.0%)
donkey-kick,Bodyweight,
barbell-floor-tricep-cycle,Barbell,"front_chest (40.0%), front_shoulders (40.0%)"
dumbbell-tate-press,"Bench, Dumbbell",
