single-arm-cable-lat-pulldown,Cables,front_biceps (40.0%)
underhand-lat-pulldown,Machine,front_biceps (40.0%)
barbell-landmine-row,"Barbell, Landmine","back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
band-staggered-stance-row,Bands,front_biceps (40.0%)
cable-wide-row,Cables,front_biceps (40.0%)
alternating-lat-pulldown,Machine,front_biceps (40.0%)
kettlebell-wide-bent-over-row,Kettlebell,front_biceps (40.0%)
cable-overhead-row,Cables,
cable-archer-row,Cables,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
band-floor-overhead-row,Bands,
barbell-overhead-row,Barbell,
half-kneeling-band-row,Bands,front_biceps (40.0%)
barbell-floor-overhead-row,Barbell,
kettlebell-chest-supported-row,"Bench, Kettlebell","back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
band-assisted-pull-up,"Bands, Pull-Up Bar",front_biceps (40.0%)
trx-inverted-row,trx,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
trx-archer-row,trx,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
weighted-hammer-pull-up,"Pull-Up Bar, Hammer",front_biceps (40.0%)
trx-assisted-pull-up,trx,front_biceps (40.0%)
assisted-hammer-pull-up,"Machine, Hammer",front_biceps (40.0%)
assisted-pull-up,Machine,front_biceps (40.0%)
split-stance-cable-row,Cables,front_biceps (40.0%)
single-kettlebell-one-arm-row,Kettlebell,front_biceps (40.0%)
trx-horizontal-to-vertical-row,trx,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
band-straight-arm-pulldown,Bands,"back_hamstrings (40.0%), front_shoulders (40.0%)"
single-arm-underhand-lat-pulldown,Machine,front_biceps (40.0%)
dumbbell-chest-supported-row,"Bench, Dumbbell","back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
band-horizontal-to-vertical-row,Bands,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
incline-cable-row,"Bench, Cables","back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
lat-roller,Roller,
barbell-wide-bent-over-row,Barbell,front_biceps (40.0%)
seated-cable-row,Cables,front_biceps (40.0%)
band-overhead-row,Bands,
weighted-pull-up,Pull-Up Bar,front_biceps (40.0%)
unilateral-barbell-landmine-row,"Barbell, Landmine","back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
chin-up,Pull-Up Bar,front_biceps (40.0%)
band-hammer-lat-pulldown,"Bands, Hammer",front_biceps (40.0%)
cable-vertical-to-horizontal-row,Cables,front_biceps (40.0%)
single-arm-split-stance-incline-row,Cables,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
med-ball-overhead-row,Medball,
single-arm-lat-pulldown,Machine,front_biceps (40.0%)
dumbbell-floor-overhead-row,Dumbbell,
trx-single-arm-reach-and-row,trx,front_biceps (40.0%)
machine-pull-up,Machine,front_biceps (40.0%)
lat-stretch,Bodyweight,
lat-pulldown,Machine,front_biceps (40.0%)
barbell-bent-over-row,Barbell,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
band-one-arm-row,Bands,front_biceps (40.0%)
machine-row,Machine,front_biceps (40.0%)
kettlebell-bent-over-row,Kettlebell,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
cable-lat-pulldown,Cables,front_biceps (40.0%)
hammer-lat-pulldown,"Machine, Hammer",front_biceps (40.0%)
machine-wide-row,Machine,front_biceps (40.0%)
cable-low-row-high-row,Cables,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
single-kettlebell-overhead-row,Kettlebell,
band-assisted-hammer-pull-up,"Bands, Pull-Up Bar, Hammer",front_biceps (40.0%)
dumbbell-staggered-stance-row,Dumbbell,front_biceps (40.0%)
alternating-hammer-lat-pulldown,"Machine, Hammer",front_biceps (40.0%)
dumbbell-wide-bent-over-row,Dumbbell,front_biceps (40.0%)
prayer-stretch,Bodyweight,
dumbbell-bench-one-arm-row,"Bench, Dumbbell",front_biceps (40.0%)
cable-staggered-stance-row,Cables,front_biceps (40.0%)
band-lat-pulldown,Bands,front_biceps (40.0%)
dumbbell-archer-row,Dumbbell,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
cable-straight-arm-pulldown,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
wide-lat-pulldown,Machine,front_biceps (40.0%)
dumbbell-bent-over-row,Dumbbell,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
single-arm-half-kneeling-cable-row,Cables,front_biceps (40.0%)
dumbbell-one-arm-row,Dumbbell,front_biceps (40.0%)
weighted-chin-up,Pull-Up Bar,front_biceps (40.0%)
single-arm-hammer-lat-pulldown,"Machine, Hammer",front_biceps (40.0%)
cable-chest-supported-row,"Bench, Cables","back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
band-chin-up,"Bands, Pull-Up Bar",front_biceps (40.0%)
band-bench-one-arm-row,"Bands, Bench",front_biceps (40.0%)
single-kettlebell-floor-overhead-row,Kettlebell,
kettlebell-staggered-stance-row,Kettlebell,front_biceps (40.0%)
med-ball-floor-overhead-row,Medball,
half-kneeling-cable-row,Cables,front_biceps (40.0%)
pull-up,Pull-Up Bar,front_biceps (40.0%)
single-arm-band-lat-pulldown,Bands,front_biceps (40.0%)
cable-hammer-lat-pulldown,"Cables, Hammer",front_biceps (40.0%)
band-row,Bands,front_biceps (40.0%)
cable-floor-overhead-row,Cables,
band-archer-row,Bands,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
dumbbell-overhead-row,Dumbbell,
machine-assisted-chin-up,Machine,front_biceps (40.0%)
band-chest-supported-row,"Bands, Bench","back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
