lower-back-roller,Roller,
scorpion-stretch,Bodyweight,
knee-to-chest-stretch,Bodyweight,back_glutes (40.0%)
dumbbell-superman,Dumbbell,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
superman-hold,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
med-ball-back-extension,Medball,"back_glutes (40.0%), back_hamstrings (40.0%)"
prone-leg-raise,Bodyweight,
back-extension,Bodyweight,"back_glutes (40.0%), back_hamstrings (40.0%)"
kettlebell-superman,Kettlebell,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
med-ball-superman-hold,Medball,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
childs-pose,Bodyweight,
spine-rotation-stretch,Bodyweight,
dumbbell-superman-hold,Dumbbell,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
med-ball-superman,Medball,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
prone-frog-kick,Bodyweight,
barbell-back-extension,Barbell,"back_glutes (40.0%), back_hamstrings (40.0%)"
dumbbell-back-extension,Dumbbell,"back_glutes (40.0%), back_hamstrings (40.0%)"
kettlebell-back-extension,Kettlebell,"back_glutes (40.0%), back_hamstrings (40.0%)"
kettlebell-superman-hold,Kettlebell,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
superman,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%), front_traps (40.0%)"
