med-ball-tricep-extension,Medball,
single-kettlebell-floor-tricep-cycle,Kettlebell,"front_chest (40.0%), front_shoulders (40.0%)"
tricep-roller,Roller,
band-tricep-extension,Bands,
band-tricep-pushdown,Bands,
incline-tricep-push-up,Bodyweight,
tricep-to-push-up,Bodyweight,front_chest (40.0%)
med-ball-floor-tricep-cycle,Medball,"front_chest (40.0%), front_shoulders (40.0%)"
dumbbell-floor-tricep-cycle,Dumbbell,"front_chest (40.0%), front_shoulders (40.0%)"
dumbbell-tricep-extension,Dumbbell,
kettlebell-tricep-extension,Kettlebell,
cable-tricep-pushdown,Cables,
tricep-stretch,Bodyweight,
tricep-push-up,Bodyweight,
barbell-floor-tricep-cycle,Barbell,"front_chest (40.0%), front_shoulders (40.0%)"
