bodyweight-seated-hip-rotation-to-glute-squeeze,Bodyweight,
step-jack,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-leg-abduction,Bands,
hip-abduction-machine,Machine,
bodyweight-standing-fire-hydrant,Bodyweight,
clam-shell,Bodyweight,back_glutes (40.0%)
kneeling-fire-hydrant,Bodyweight,"back_glutes (40.0%), front_hip_flexors (40.0%)"
kneeling-hip-rotation,Bodyweight,"back_glutes (40.0%), front_hip_flexors (40.0%)"
floor-leg-abduction,Bodyweight,
cable-leg-abduction,Cables,
dumbbell-kneeling-fire-hydrant,Dumbbell,"back_glutes (40.0%), front_hip_flexors (40.0%)"
dumbbell-standing-fire-hydrant,Dumbbell,
cable-kneeling-fire-hydrant,Cables,"back_glutes (40.0%), front_hip_flexors (40.0%)"
skater-jump,Bodyweight,front_quads (40.0%)
bodyweight-leg-abduction,Bodyweight,
bodyweight-seated-hip-rotation,Bodyweight,
