dumbbell-side-plank-row,Dumbbell,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
kneeling-overhead-oblique-stretch,Bodyweight,
seated-cable-lumberjack-high-to-low,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
slider-cross-body-knee-in,Bodyweight,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
half-kneeling-med-ball-lumberjack,Medball,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-double-windmill,Dumbbell,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
dumbbell-side-plank-dip,Dumbbell,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
dumbbell-plank-weight-drag-through,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bosu-side-plank,Bosu,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
single-kettlebell-side-bend,Kettlebell,
side-plank-dip,Bodyweight,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
russian-twist,Bodyweight,
band-dumbbell-pallof-punch,"Bands, Dumbbell","back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
kettlebell-double-windmill,Kettlebell,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
band-lumberjack-squat,Bands,"back_hamstrings (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
dumbbell-side-bend,Dumbbell,
seated-band-lumberjack,Bands,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-side-bend,Bands,
plank-reach-through,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-standing-lumberjack,Dumbbell,"back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
med-ball-yoga-ball-upper-body-windshield-wiper,"Yoga Ball, Medball","back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-trunk-rotation,Dumbbell,front_abs (40.0%)
