slider-curtsey,Bodyweight,"back_glutes (40.0%), back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
dumbbell-burpee,Dumbbell,"back_calves (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
band-box-squat,Bands,back_hamstrings (40.0%)
med-ball-forward-lunge,Medball,
kettlebell-box-jump,"Box, Kettlebell",back_hamstrings (40.0%)
med-ball-box-squat,Medball,back_hamstrings (40.0%)
kettlebell-step-down,"Box, Kettlebell",
trx-pistol-squat-jump,trx,back_hamstrings (40.0%)
hand-roller-outer-quad,Roller,
kettlebell-bulgarian-split-squat,"Box, Kettlebell",
kettlebell-step-up,"Box, Kettlebell",
broad-jump,Bodyweight,back_calves (40.0%)
kettlebell-lunge-to-donkey-kick,Kettlebell,
burpee,Bodyweight,"back_calves (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
tuck-jump,Bodyweight,front_hip_flexors (40.0%)
med-ball-box-jump,"Box, Medball",back_hamstrings (40.0%)
bodyweight-leg-extension,Bodyweight,
barbell-sumo-squat,Barbell,
dumbbell-front-squat,Dumbbell,front_hip_flexors (40.0%)
walk,Bodyweight,"back_calves (40.0%), back_glutes (40.0%), back_hamstrings (40.0%)"
barbell-step-up-to-reverse-lunge,"Barbell, Box",
heel-touch,Bodyweight,
dumbbell-box-jump,"Box, Dumbbell",back_hamstrings (40.0%)
single-leg-kettlebell-box-squat,Kettlebell,back_hamstrings (40.0%)
kettlebell-forward-lunge,Kettlebell,
med-ball-lateral-lunge,Medball,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
jump-squat,Bodyweight,"back_calves (40.0%), back_hamstrings (40.0%)"
single-leg-machine-leg-extension,Machine,
bodyweight-cossack-squat,Bodyweight,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), back_hamstrings (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%)"
wall-sit,Bodyweight,back_glutes (40.0%)
weighted-machine-walk,Bodyweight,"back_calves (40.0%), back_glutes (40.0%), back_hamstrings (40.0%)"
dumbbell-lunge-to-donkey-kick,Dumbbell,
kettlebell-box-squat,Kettlebell,back_hamstrings (40.0%)
kettlebell-jump-squat,Kettlebell,"back_calves (40.0%), back_hamstrings (40.0%)"
